Open,High,Low,Volume,PriceCategory
0.3,0.3034282369723857,0.2955096887746318,715.8,Low
0.3,0.3043765793883228,0.2994593365823236,2028.3,Low
0.3,0.3037357512436083,0.2958577466121563,273.0,Low
0.3,0.3034058341430823,0.2984894975814977,1452.0,Low
0.3,0.3027148323562317,0.2963302113660724,1002.6,Low
0.3,0.3039815964444799,0.2981269442819001,872.6999999999999,Low
0.3,0.3027942471041973,0.299572303961348,421.2,Low
0.3,0.3053831061044578,0.2957924388201218,1030.5,Low
0.3,0.3057928777348558,0.2971426428782199,2379.9,Low
0.3,0.3024856166573069,0.2955718852237124,310.5,Low
0.3,0.3048128327170711,0.2993791783591658,2347.2,Low
0.3,0.3033147010425915,0.2966778404971627,894.9,Low
0.3,0.3035378539982353,0.2993906815505022,2811.0,Low
0.3,0.3055759008382682,0.2988800718397372,1825.5,Low
0.3,0.3007049055317279,0.2952288444326151,2659.2,Low
0.3,0.3007966370082988,0.2983965678629486,874.5,Low
0.3,0.3004152448654099,0.2991680559513006,1514.4,Low
0.3,0.3050459331196232,0.2988916903089524,2158.8,Low
0.3,0.3047354934804142,0.2988938364057677,369.3,Low
0.3,0.3052590692450068,0.2948902038217472,158.4,Low
0.3,0.3058781245507267,0.2963373275407949,957.0,Low
0.3,0.3048552038160353,0.2951836105775258,1566.6,Low
0.3,0.3029304323648417,0.2982338511506295,1254.0,Low
0.3,0.3047490163048328,0.2961298572549802,2197.8,Low
0.3,0.3009741642274529,0.2945762267313698,1523.1,Low
0.3,0.3039475498215668,0.2966564537027203,1032.9,Low
0.3,0.3011171137382315,0.2947368158798875,1800.6,Low
0.3,0.3056846128271825,0.2984571394266188,714.6,Low
0.3,0.3032745354339754,0.2941885178099258,275.4,Low
0.3,0.3026635730579459,0.2992457528151833,624.0,Low
0.3,0.3018079669889963,0.2953616823495227,2934.0,Low
0.3,0.304713132029775,0.2985502027015705,2558.4,Low
0.3,0.3029000568936343,0.2990337400989226,626.4,Low
0.3,0.3035400735085513,0.296513552190393,1213.2,Low
0.3,0.3004071018624872,0.2978929729891844,2479.2,Low
0.3,0.3038205223333325,0.2984316362776194,2388.6,Low
0.3,0.3037889456195178,0.297196997248536,2062.2,Low
0.3,0.3038165237821861,0.2940659978319136,775.1999999999999,Low
0.3,0.3056793640475333,0.2960937379167983,562.1999999999999,Low
0.3,0.3041863757048898,0.298111963096225,735.6,Low
0.3,0.3023491950332705,0.2940803574418941,2574.0,Low
0.3,0.3027910821366562,0.2981087499188884,2202.9,Low
0.3,0.3042764978167854,0.2955979858121802,2654.4,Low
0.3,0.3006432851882868,0.2981990029571735,912.9,Low
0.3,0.3041005702780403,0.2952864532468188,90.0,Low
0.3,0.3041226358568235,0.2960292904910012,2278.2,Low
0.3,0.3014991805981208,0.2964355708833068,117.3,Low
0.3,0.3010348798966326,0.2970842992166968,537.6,Low
0.3,0.3020979416002678,0.298315793418878,2859.9,Low
0.3,0.3023731513943729,0.296226264740714,1420.5,Low
0.3,0.3035501215913819,0.2947162189700315,2397.0,Low
0.3,0.3028000286267352,0.29952155913991,651.0,Low
0.3,0.3059337308769376,0.2955237824886769,1300.2,Low
0.3,0.3008816554212637,0.2946844415495864,2043.9,Low
0.3,0.3014905975097405,0.296183739652557,2225.7,Low
0.3,0.3012194642519444,0.2982269453952722,1290.9,Low
0.3,0.3040227174551528,0.2976965921611807,1506.3,Low
0.3,0.3017437621344767,0.2954318125208398,415.8,Low
0.3,0.3029579714052809,0.2976091125229331,2709.6,Low
0.3,0.3016932258744091,0.2996539830102647,1014.0,Low
0.3,0.3012061266267794,0.2990985457205392,347.7,Low
0.3,0.3009291383046366,0.2980735598903286,2139.9,Low
0.3,0.304041078659952,0.2974589321218205,400.2,Low
0.3,0.3010876428226871,0.2976233490784908,445.5,Low
0.3,0.3014205194615763,0.2951033619894893,1098.6,Low
0.3,0.3024017334727674,0.2984369784038168,2398.2,Low
